paper_id,cite_key,title,authors,year,venue,venue_type,category,modality,has_obb,has_code,benchmark,quality_score,quality_tier,inclusion_stage,notes
P001,geochat2024,GeoChat: Grounded Large Vision-Language Model for Remote Sensing,"Kuckreja et al.",2024,CVPR,Conference,Model,Optical,Yes,Yes,GeoChat-Bench,5,High,Eligible-DB,General conversational OBB; 318K instruction pairs
P002,earthgpt2025,EarthGPT: A Universal Multi-modal Large Language Model for Multi-sensor Image Comprehension in Remote Sensing Domain,"Zhang et al.",2025,TGRS,Journal,Model,Optical+SAR+HSI,Yes,Yes,RSVQA,5,High,Eligible-DB,Multi-sensor; OBB task-constrained
P003,earthonevision2026,Earth-OneVision: A Versatile Multimodal Remote Sensing Foundation Model,"Chen et al.",2026,arXiv,Preprint,Model,Optical+SAR+MSI,No,Yes,RSVQA-HR,4,Medium,Eligible-DB,2B and 7B variants
P004,geopixel2025,GeoPixel: Pixel Grounding Large Visual Language Model in Remote Sensing,"Awal et al.",2025,arXiv,Preprint,Model,Optical,No,Yes,DIOR,4,Medium,Eligible-DB,Pixel-level grounding
P005,skysensegpt2024,SkySenseGPT: A Fine-grained Instruction Tuning Dataset and Model for Remote Sensing Vision-Language Understanding,"Luo et al.",2024,arXiv,Preprint,Model,Optical,No,Yes,RSVQA,4,Medium,Eligible-DB,Scene+region dual-stream
P006,geollava2025,GeoLLaVA: Efficient Fine-Tuned Vision-Language Models for Temporal Change Detection in Remote Sensing,"Hussain et al.",2025,arXiv,Preprint,Model,Optical,No,Yes,RSVQA-LR,3,Medium,Eligible-DB,LLaVA RS adaptation
P007,uhrbat2025,UHR-BAT: Ultra High Resolution Remote Sensing Image Understanding,"Wang et al.",2025,arXiv,Preprint,Model,Optical,No,Yes,DOTA,4,Medium,Eligible-DB,UHR tiling strategy
P008,geoground2025,GeoGround: A Unified Large Vision-Language Model for Remote Sensing Visual Grounding,"Zhou et al.",2025,arXiv,Preprint,Model,Optical,Yes,Yes,DOTA OBB,5,High,Eligible-DB,Task-constrained OBB grounding
P009,earthgptx2026,EarthGPT-X: Enabling MLLMs to Flexibly and Comprehensively Understand Multi-source Remote Sensing Imagery,"Zhang et al.",2026,arXiv,Preprint,Model,Optical+SAR+HSI,Yes,Yes,XLRS-Bench,5,High,Eligible-DB,Task-constrained OBB; 34M pairs
P010,lhrsbot2024,LHRS-Bot: Empowering Remote Sensing with VGI-Enhanced Large Multimodal Language Model,"Muhtar et al.",2024,arXiv,Preprint,Model,Optical,No,Yes,RSVQA,4,Medium,Eligible-DB,Hierarchical RS captioning
P011,lhrsbotnova2024,LHRS-Bot-Nova: Improved Baselines for Remote Sensing Visual Question Answering,"Muhtar et al.",2024,arXiv,Preprint,Model,Optical,No,Yes,RSVQA,4,Medium,Eligible-DB,Updated LHRS with LLaMA-3
P012,geopix2025,GeoPix: Towards Geospatial Vision-Language Model for Remote Sensing Image Segmentation,"Pan et al.",2025,arXiv,Preprint,Model,Optical,No,Yes,iSAID,4,Medium,Eligible-DB,Panoptic segmentation
P013,teochat2025,TEOChat: A Large Vision-Language Assistant for Temporal Earth Observation Data,"Irvin et al.",2025,arXiv,Preprint,Model,Optical,No,Yes,QFabric,5,High,Eligible-DB,Temporal/change detection
P014,segearthvlm2026,SegEarth-OV: Towards Training-Free Open-Vocabulary Segmentation for Remote Sensing Images,"Li et al.",2026,arXiv,Preprint,Model,Optical,No,Yes,LoveDA,4,Medium,Eligible-Snowball,Open-vocab segmentation
P015,sarvlm2026,SAR-VLM: Towards Grounded Understanding of Synthetic Aperture Radar Imagery,"Li et al.",2026,arXiv,Preprint,Model,SAR,No,Yes,MSTAR,4,Medium,Eligible-DB,SAR-dedicated VLM
P016,rschat2025,RSChat: A Remote Sensing-Oriented Dialogue Model,"Zhang et al.",2025,arXiv,Preprint,Model,Optical,No,Yes,RSICD,3,Medium,Eligible-DB,Conversational RS
P017,geocodegpt2025,GeoCodeGPT: A Code-Generating Remote Sensing Vision-Language Model,"Liu et al.",2025,arXiv,Preprint,Model,Optical,No,Yes,DOTA HBB,3,Medium,Eligible-DB,Code-generating detection
P018,changeagent2025,Change-Agent: Towards Interactive Comprehensive Remote Sensing Change Interpretation and Analysis,"Ke et al.",2025,arXiv,Preprint,Model,Optical,No,Yes,LEVIR-CD,4,Medium,Eligible-DB,Change captioning
P019,omniearth2026,OmniEarth: Towards Omni-modal Earth Observation via Interleaved Visual Sequence with Millions of Tokens,"Wang et al.",2026,arXiv,Preprint,Model,Optical+SAR,No,Yes,VRSBench,4,Medium,Eligible-DB,Omni-modality RS
P020,omniearth2026b,OmniEarth-v2: Scaling Omni-Modal Remote Sensing Intelligence with Cross-Modal Instruction Tuning,"Wang et al.",2026,arXiv,Preprint,Model,Optical+SAR+MSI,No,Yes,XLRS-Bench,4,Medium,Eligible-DB,Scaled OmniEarth
P021,georeasoning2026,GeoReasoning: Towards Geospatial Reasoning with Multi-source Remote Sensing Images,"Chen et al.",2026,arXiv,Preprint,Model,Optical,No,Yes,GeoChat-Bench,4,Medium,Eligible-DB,CoT reasoning
P022,samrseg2024,SAM Meets Remote Sensing: A Meta-Learning Approach for Segment Anything in Remote Sensing,"Chen et al.",2024,arXiv,Preprint,Model,Optical,No,Yes,iSAID,4,Medium,Eligible-DB,SAM RS adaptation
P023,rlhfrs2025,RLHF-V for Remote Sensing: Aligning Vision-Language Models with Human Feedback,"Zhang et al.",2025,arXiv,Preprint,Model,Optical,No,Yes,RSVQA,3,Medium,Eligible-DB,RLHF alignment
P024,geosam2024,GeoSAM: Fine-tuning SAM with Sparse and Dense Visual Prompting for Remote Sensing Instance Segmentation,"Dong et al.",2024,arXiv,Preprint,Model,Optical,No,Yes,iSAID,4,Medium,Eligible-DB,Geospatial SAM fine-tune
P025,georscclip2024,GeoRS-CLIP: Contrastive Language-Image Pre-Training for Remote Sensing,"Zhang et al.",2024,arXiv,Preprint,Model,Optical,No,Yes,UCM retrieval,4,Medium,Eligible-DB,RS CLIP adaptation
P026,skyclip2024,SkyCLIP: Aerial Scene Understanding with Contrastive Language-Image Pretraining,"Wang et al.",2024,arXiv,Preprint,Model,Optical,No,Yes,RS retrieval,3,Medium,Eligible-DB,Aerial CLIP
P027,geosam2024,GeoSAM: Grounding SAM for Remote Sensing,"Li et al.",2024,arXiv,Preprint,Model,Optical,No,Yes,DIOR,3,Medium,Eligible-DB,SAM grounding
P028,sarchatchat2025,SARChat: Towards Alignment of LLMs for SAR Target Interpretation,"Zhao et al.",2025,arXiv,Preprint,Model,SAR,No,Yes,SAR-ACD,4,Medium,Eligible-DB,SAR dialogue model
P029,ma2026dsorsp,Multimodal Large Language Models for Remote Sensing Image Understanding: A Survey,"Ma et al.",2026,arXiv,Preprint,Model,Optical+SAR+HSI,No,No,Multiple,5,High,Eligible-DB,Concurrent survey; key reference
P030,hmbench2026,HM-Bench: Benchmarking Multimodal LLMs on Hyperspectral Remote Sensing,"Xu et al.",2026,arXiv,Preprint,Benchmark,HSI,No,Yes,HM-Bench,4,Medium,Eligible-DB,13 HSI tasks 18 MLLMs; PCA composites
P031,vrsbench2024,VRSBench: A Versatile Vision-Language Benchmark Dataset for Remote Sensing Image Understanding,"Li et al.",2024,arXiv,Preprint,Benchmark,Optical,No,Yes,VRSBench,5,High,Eligible-DB,29614 images 5 tasks
P032,xlrsbench2025,XLRS-Bench: Could Your Multimodal LLMs Understand Extremely Large Remote Sensing Images?,"Yang et al.",2025,arXiv,Preprint,Benchmark,Optical,No,Yes,XLRS-Bench,5,High,Eligible-DB,UHR evaluation
P033,hrsbench2025,HRSBench: A High-Resolution Remote Sensing Benchmark for Multimodal Language Models,"Liu et al.",2025,arXiv,Preprint,Benchmark,Optical,No,Yes,HRSBench,4,Medium,Eligible-DB,High-resolution VQA
P034,vlrsbench2026,VL-RS-Bench: Multi-task Vision-Language Benchmark for Remote Sensing,"Chen et al.",2026,arXiv,Preprint,Benchmark,Optical+SAR,No,Yes,VL-RS-Bench,4,Medium,Eligible-DB,Multi-task 10 categories
P035,earthvqa2024,EarthVQA: Towards Queryable Earth via Relational Reasoning-based Remote Sensing Visual Question Answering,"Wang et al.",2024,arXiv,Preprint,Benchmark,Optical,No,Yes,EarthVQA,4,Medium,Eligible-DB,Relational RS VQA
P036,rshallu2026,RSHallu: A Benchmark for Evaluating Hallucinations in Remote Sensing MLLMs,"Li et al.",2026,arXiv,Preprint,Benchmark,Optical,No,Yes,RSHallu,5,High,Eligible-DB,Hallucination evaluation benchmark
P037,aerialmirage2026,Aerial Mirage: Hallucinations in Geospatial Visual Reasoning,"Gao et al.",2026,arXiv,Preprint,Hallucination,Optical,No,Yes,Aerial Mirage-Bench,5,High,Eligible-DB,Type I+II taxonomy; 2-type framework
P038,seeingclearly2026,Seeing Clearly in Remote Sensing: Reducing Object Hallucination in Multimodal LLMs,"Zhang et al.",2026,arXiv,Preprint,Hallucination,Optical,No,Yes,POPE-RS,5,High,Eligible-DB,Attention-based mitigation
P039,remoteshield2026,RemoteShield: Safety-Aware Vision-Language Models for Remote Sensing,"Liu et al.",2026,arXiv,Preprint,Hallucination,Optical,No,Yes,RemoteShield-Bench,4,Medium,Eligible-DB,Safety+hallucination mitigation
