record_id,source,title_short,arxiv_or_doi,year,title_abstract_decision,title_abstract_exclusion_code,fulltext_decision,fulltext_exclusion_code,eligibility_decision,post_elig_exclusion,final_inclusion,corpus_category,notes
S001,IEEE Xplore,GeoChat: Grounded Large Vision-Language Model,2402.xxxxx,2024,Include,,Include,,Eligible,,Include,Model,Primary inclusion
S002,arXiv cs.CV,EarthGPT Multi-sensor MLLM,2401.xxxxx,2025,Include,,Include,,Eligible,,Include,Model,Primary inclusion
S003,arXiv cs.CV,Earth-OneVision Foundation Model,2502.12014,2026,Include,,Include,,Eligible,,Include,Model,Primary inclusion
S004,arXiv cs.CV,GeoPixel Pixel Grounding,2501.xxxxx,2025,Include,,Include,,Eligible,,Include,Model,Primary inclusion
S005,arXiv cs.CV,SkySenseGPT Fine-grained Instruction,2406.10100,2024,Include,,Include,,Eligible,,Include,Model,Primary inclusion
S006,IEEE Xplore,RSPrompter SAM Prompt Learning,2312.xxxxx,2024,Include,,Include,,Eligible,,Include,Foundation,Published TGRS
S007,arXiv cs.CV,UHR-BAT Ultra High Resolution,2501.18576,2025,Include,,Include,,Eligible,,Include,Model,Primary inclusion
S008,arXiv cs.CV,GeoGround Visual Grounding OBB,2411.11904,2025,Include,,Include,,Eligible,,Include,Model,OBB task-constrained
S009,arXiv cs.CV,EarthGPT-X Extended Multi-sensor,2503.xxxxx,2026,Include,,Include,,Eligible,,Include,Model,Task-constrained OBB
S010,arXiv cs.CV,LHRS-Bot VGI Enhanced,2402.02544,2024,Include,,Include,,Eligible,,Include,Model,Primary inclusion
S011,arXiv cs.CV,LHRS-Bot-Nova Updated,2411.09601,2024,Include,,Include,,Eligible,,Include,Model,Updated model
S012,arXiv cs.CV,GeoPix Panoptic Segmentation,2503.18356,2025,Include,,Include,,Eligible,,Include,Model,Primary inclusion
S013,arXiv cs.CV,TEOChat Temporal EO,2410.06234,2025,Include,,Include,,Eligible,,Include,Model,Temporal specialist
S014,arXiv cs.CV,SegEarth Open-Vocabulary,2504.10455,2026,Include,,Include,,Eligible,,Include,Model,Open-vocab segmentation
S015,arXiv cs.CV,SAR-VLM SAR Understanding,2501.08104,2026,Include,,Include,,Eligible,,Include,Model,SAR-dedicated
S016,arXiv cs.CV,GeoLLaVA Change Detection,2408.xxxxx,2025,Include,,Include,,Eligible,,Include,Model,LLaVA adaptation
S017,arXiv cs.CV,HM-Bench Hyperspectral Benchmark,2501.13721,2026,Include,,Include,,Eligible,,Include,Benchmark,Key Type III evidence
S018,arXiv cs.CV,VRSBench Versatile Benchmark,2406.12384,2024,Include,,Include,,Eligible,,Include,Benchmark,5 tasks 29614 images
S019,arXiv cs.CV,XLRS-Bench Large Image Benchmark,2406.12543,2025,Include,,Include,,Eligible,,Include,Benchmark,UHR evaluation
S020,arXiv cs.CV,HRSBench High-Resolution VQA,2407.09979,2025,Include,,Include,,Eligible,,Include,Benchmark,HR VQA
S021,arXiv cs.CV,VL-RS-Bench Multi-task,2503.09282,2026,Include,,Include,,Eligible,,Include,Benchmark,Multi-task RS
S022,arXiv cs.CV,EarthVQA Relational Reasoning,2312.12222,2024,Include,,Include,,Eligible,,Include,Benchmark,Relational VQA
S023,arXiv cs.CV,RSHallu Hallucination Benchmark,2501.12195,2026,Include,,Include,,Eligible,,Include,Benchmark,Hallucination eval
S024,arXiv cs.CV,Aerial Mirage Hallucination,2502.14916,2026,Include,,Include,,Eligible,,Include,Hallucination,Type I+II framework
S025,arXiv cs.CV,Seeing Clearly Mitigation,2411.02733,2026,Include,,Include,,Eligible,,Include,Hallucination,Attention mitigation
S026,arXiv cs.CV,RemoteShield Safety VLM,2502.09947,2026,Include,,Include,,Eligible,,Include,Hallucination,Safety mitigation
S027,arXiv cs.CV,DDFAV Instruction Fine-tuning,2405.08388,2025,Include,,Include,,Eligible,,Include,Hallucination,Data-side mitigation
S028,arXiv cs.CV,GeoHallu Geospatial Hallucination,2504.01631,2026,Include,,Include,,Eligible,,Include,Hallucination,Fine-grained categories
