database,search_date,field_scope,master_query_applied,adapted_query,records_retrieved,notes
IEEE Xplore,2026-08-14,All Metadata,"(""remote sensing"" OR ""earth observation"" OR ""satellite imagery"") AND (""multimodal large language model"" OR ""MLLM"" OR ""vision-language model"" OR ""large vision-language model"" OR ""visual question answering"" OR ""VLM"") AND (""survey"" OR ""model"" OR ""benchmark"" OR ""detection"" OR ""segmentation"")","(""All Metadata"":""remote sensing"" OR ""All Metadata"":""earth observation"" OR ""All Metadata"":""satellite imagery"") AND (""All Metadata"":""MLLM"" OR ""All Metadata"":""vision-language model"" OR ""All Metadata"":""VLM"") AND (""All Metadata"":""benchmark"" OR ""All Metadata"":""model"")",214,IEEE field tag adaptation; AND/OR structure preserved
arXiv cs.CV,2026-08-14,"ti+abs (Title + Abstract)","(""remote sensing"" OR ""earth observation"" OR ""satellite imagery"") AND (""multimodal large language model"" OR ""MLLM"" OR ""vision-language model"" OR ""large vision-language model"" OR ""visual question answering"" OR ""VLM"") AND (""survey"" OR ""model"" OR ""benchmark"" OR ""detection"" OR ""segmentation"")","API query: ti:remote sensing abs:MLLM OR ti:earth observation abs:VLM OR ti:satellite imagery abs:vision-language; date range 2022-01-01 to 2026-08-14",318,arXiv API ti+abs scope; cs.CV category
arXiv eess.IV,2026-08-14,"ti+abs (Title + Abstract)","(""remote sensing"" OR ""earth observation"" OR ""satellite imagery"") AND (""multimodal large language model"" OR ""MLLM"" OR ""vision-language model"" OR ""large vision-language model"" OR ""visual question answering"" OR ""VLM"") AND (""survey"" OR ""model"" OR ""benchmark"" OR ""detection"" OR ""segmentation"")","Same as cs.CV query; eess.IV category",87,Image/video signal processing category
Springer Link,2026-08-14,"title: and keyword:","(""remote sensing"" OR ""earth observation"" OR ""satellite imagery"") AND (""multimodal large language model"" OR ""MLLM"" OR ""vision-language model"" OR ""VLM"") AND (""benchmark"" OR ""model"" OR ""detection"")","title:(remote sensing OR earth observation) AND keyword:(MLLM OR VLM OR vision-language model)",89,Springer prefix notation; journals + book chapters
CVPR Proceedings,2026-08-14,Title + Abstract (OpenReview/CVF portal),"(""remote sensing"" OR ""earth observation"" OR ""satellite imagery"") AND (""MLLM"" OR ""VLM"" OR ""vision-language"")","CVPR proceedings portal search: remote sensing VLM; CVPR 2022 2023 2024 2025 2026",42,Official CVF proceedings portal
ICCV Proceedings,2026-08-14,Title + Abstract (CVF portal),"(""remote sensing"" OR ""earth observation"" OR ""satellite imagery"") AND (""MLLM"" OR ""VLM"" OR ""vision-language"")","ICCV proceedings portal: remote sensing VLM; ICCV 2023 2025",28,Official CVF portal; ICCV odd years
NeurIPS Proceedings,2026-08-14,Title + Abstract (NeurIPS portal),"(""remote sensing"" OR ""earth observation"" OR ""satellite imagery"") AND (""MLLM"" OR ""VLM"" OR ""vision-language"")","NeurIPS proceedings search; 2022 2023 2024 2025",19,Official NeurIPS proceedings portal
AAAI Proceedings,2026-08-14,Title + Abstract (AAAI portal),"(""remote sensing"" OR ""earth observation"" OR ""satellite imagery"") AND (""MLLM"" OR ""VLM"" OR ""vision-language"")","AAAI proceedings portal; 2023 2024 2025 2026",32,Official AAAI portal
ISPRS Proceedings,2026-08-14,"Title, Abstract, Keywords (ISPRS portal)","(""multimodal large language model"" OR ""MLLM"" OR ""vision-language model"" OR ""VLM"") AND (""remote sensing"" OR ""earth observation"")","ISPRS Journal + Annals + Congress 2022–2026; title+abstract+keyword scope",18,ISPRS Annals of Photogrammetry + Journal of P&RS
Supplementary — Targeted 1,2026-08-14,Title + Abstract,"N/A — targeted string","""remote sensing MLLM""",Cross-DB,Applied independently across all databases
Supplementary — Targeted 2,2026-08-14,Title + Abstract,"N/A — targeted string","""RS vision language model""",Cross-DB,Applied independently
Supplementary — Targeted 3,2026-08-14,Title + Abstract,"N/A — targeted string","""multimodal LLM remote sensing""",Cross-DB,Applied independently
Supplementary — Targeted 4,2026-08-14,Title + Abstract,"N/A — targeted string","""RS VLM""",Cross-DB,Applied independently
Update Search — RS-MLLM,2026-08-24,Title + Abstract (arXiv + S2 + IEEE),"N/A — update search","""RS-MLLM"" 2026",31 candidates,Update search; 18 to full-text; 3 eligible post-cutoff
Update Search — RS-VLM,2026-08-24,Title + Abstract,N/A,"""RS-VLM"" 2026",Update search round,Targeted update
Update Search — EO VLM,2026-08-24,Title + Abstract,N/A,"""Earth observation VLM"" 2026",Update search round,Targeted update
Update Search — SAR VLM,2026-08-24,Title + Abstract,N/A,"""SAR VLM"" 2026",Update search round,Targeted update
Update Search — HSI MLLM,2026-08-24,Title + Abstract,N/A,"""hyperspectral MLLM"" 2026",Update search round,Targeted update
